Income_From,Income_To,Household_Type,Implicit_MTR_pct,Cliff_Flag,Notch_Flag,Net_Tax_Change,Disposable_Income_Change
1000,2000,"Single, no children",-6.51,False,False,-65.14,1065.14
2000,3000,"Single, no children",-6.51,False,False,-65.14,1065.14
3000,4000,"Single, no children",-6.51,False,False,-65.14,1065.14
4000,5000,"Single, no children",1.35,False,False,13.47,986.53
5000,6000,"Single, no children",1.69,False,False,16.91,983.09
6000,7000,"Single, no children",0.92,False,False,9.19,990.81
7000,8000,"Single, no children",2.12,False,False,21.19,978.81
8000,9000,"Single, no children",8.57,False,False,85.69,914.31
9000,10000,"Single, no children",10.1,False,False,100.99,899.01
10000,11000,"Single, no children",16.22,False,False,162.19,837.81
11000,12000,"Single, no children",16.22,False,False,162.19,837.81
12000,13000,"Single, no children",16.22,False,False,162.19,837.81
13000,14000,"Single, no children",17.72,False,False,177.19,822.81
14000,15000,"Single, no children",26.22,False,False,262.19,737.81
15000,16000,"Single, no children",26.22,False,False,262.19,737.81
16000,17000,"Single, no children",26.22,False,False,262.19,737.81
17000,18000,"Single, no children",23.95,False,False,239.51,760.49
18000,19000,"Single, no children",20.57,False,False,205.69,794.31
19000,20000,"Single, no children",20.57,False,False,205.69,794.31
20000,21000,"Single, no children",20.57,False,False,205.69,794.31
21000,22000,"Single, no children",20.57,False,False,205.69,794.31
22000,23000,"Single, no children",20.57,False,False,205.69,794.31
23000,24000,"Single, no children",20.57,False,False,205.69,794.31
24000,25000,"Single, no children",20.87,False,False,208.69,791.31
25000,26000,"Single, no children",22.57,False,False,225.69,774.31
26000,27000,"Single, no children",22.57,False,False,225.69,774.31
27000,28000,"Single, no children",22.57,False,False,225.69,774.31
28000,29000,"Single, no children",22.57,False,False,225.69,774.31
29000,30000,"Single, no children",22.57,False,False,225.69,774.31
30000,31000,"Single, no children",24.51,False,False,245.07,754.93
31000,32000,"Single, no children",23.65,False,False,236.5,763.5
32000,33000,"Single, no children",23.65,False,False,236.5,763.5
33000,34000,"Single, no children",23.65,False,False,236.5,763.5
34000,35000,"Single, no children",23.65,False,False,236.5,763.5
35000,36000,"Single, no children",23.65,False,False,236.5,763.5
36000,37000,"Single, no children",23.65,False,False,236.5,763.5
37000,38000,"Single, no children",23.65,False,False,236.5,763.5
38000,39000,"Single, no children",23.65,False,False,236.5,763.5
39000,40000,"Single, no children",23.65,False,False,236.5,763.5
40000,41000,"Single, no children",23.65,False,False,236.5,763.5
41000,42000,"Single, no children",23.65,False,False,236.5,763.5
42000,43000,"Single, no children",23.65,False,False,236.5,763.5
43000,44000,"Single, no children",23.65,False,False,236.5,763.5
44000,45000,"Single, no children",25.01,False,False,250.06,749.94
45000,46000,"Single, no children",25.65,False,False,256.5,743.5
46000,47000,"Single, no children",25.65,False,False,256.5,743.5
47000,48000,"Single, no children",25.65,False,False,256.5,743.5
48000,49000,"Single, no children",25.65,False,False,256.5,743.5
49000,50000,"Single, no children",25.65,False,False,256.5,743.5
50000,51000,"Single, no children",25.65,False,False,256.5,743.5
51000,52000,"Single, no children",25.65,False,False,256.5,743.5
52000,53000,"Single, no children",25.65,False,False,256.5,743.5
53000,54000,"Single, no children",25.65,False,False,256.5,743.5
54000,55000,"Single, no children",25.65,False,False,256.5,743.5
55000,56000,"Single, no children",25.65,False,False,256.5,743.5
56000,57000,"Single, no children",25.65,False,False,256.5,743.5
57000,58000,"Single, no children",25.65,False,False,256.5,743.5
58000,59000,"Single, no children",29.9,True,False,299.0,701.0
59000,60000,"Single, no children",36.76,True,False,367.62,632.38
60000,61000,"Single, no children",37.65,True,False,376.5,623.5
61000,62000,"Single, no children",37.65,True,False,376.5,623.5
62000,63000,"Single, no children",37.65,True,False,376.5,623.5
63000,64000,"Single, no children",37.65,True,False,376.5,623.5
64000,65000,"Single, no children",37.65,True,False,376.5,623.5
65000,66000,"Single, no children",37.65,True,False,376.5,623.5
66000,67000,"Single, no children",37.65,True,False,376.5,623.5
67000,68000,"Single, no children",37.65,True,False,376.5,623.5
68000,69000,"Single, no children",37.65,True,False,376.5,623.5
69000,70000,"Single, no children",37.65,True,False,376.5,623.5
70000,71000,"Single, no children",37.65,True,False,376.5,623.5
71000,72000,"Single, no children",37.65,True,False,376.5,623.5
72000,73000,"Single, no children",37.65,True,False,376.5,623.5
73000,74000,"Single, no children",38.02,True,False,380.23,619.77
74000,75000,"Single, no children",38.95,True,False,389.5,610.5
1000,2000,"HoH, one child",-55.25,False,False,-552.47,1552.47
2000,3000,"HoH, one child",-62.75,False,False,-627.47,1627.47
3000,4000,"HoH, one child",-70.25,False,False,-702.47,1702.47
4000,5000,"HoH, one child",-70.25,False,False,-702.47,1702.47
5000,6000,"HoH, one child",-70.25,False,False,-702.47,1702.47
6000,7000,"HoH, one child",-45.78,False,False,-457.76,1457.76
7000,8000,"HoH, one child",-12.67,False,False,-126.69,1126.69
8000,9000,"HoH, one child",-12.67,False,False,-126.69,1126.69
9000,10000,"HoH, one child",-12.67,False,False,-126.69,1126.69
10000,11000,"HoH, one child",-12.67,False,False,-126.69,1126.69
11000,12000,"HoH, one child",-26.64,False,False,-266.4,1266.4
12000,13000,"HoH, one child",-4.35,False,False,-43.5,1043.5
13000,14000,"HoH, one child",8.15,False,False,81.5,918.5
14000,15000,"HoH, one child",10.65,False,False,106.5,893.5
15000,16000,"HoH, one child",10.65,False,False,106.5,893.5
16000,17000,"HoH, one child",10.65,False,False,106.5,893.5
17000,18000,"HoH, one child",10.65,False,False,106.5,893.5
18000,19000,"HoH, one child",10.65,False,False,106.5,893.5
19000,20000,"HoH, one child",10.65,False,False,106.5,893.5
20000,21000,"HoH, one child",10.65,False,False,106.5,893.5
21000,22000,"HoH, one child",17.68,False,False,176.81,823.19
22000,23000,"HoH, one child",26.63,False,False,266.3,733.7
23000,24000,"HoH, one child",26.63,False,False,266.3,733.7
24000,25000,"HoH, one child",28.63,True,False,286.3,713.7
25000,26000,"HoH, one child",41.5,True,False,415.03,584.97
26000,27000,"HoH, one child",58.29,True,False,582.9,417.1
27000,28000,"HoH, one child",58.29,True,False,582.9,417.1
28000,29000,"HoH, one child",58.29,True,False,582.9,417.1
29000,30000,"HoH, one child",58.29,True,False,582.9,417.1
30000,31000,"HoH, one child",56.69,True,False,566.92,433.08
31000,32000,"HoH, one child",33.63,True,False,336.3,663.7
32000,33000,"HoH, one child",33.63,True,False,336.3,663.7
33000,34000,"HoH, one child",33.63,True,False,336.3,663.7
34000,35000,"HoH, one child",33.63,True,False,336.3,663.7
35000,36000,"HoH, one child",33.63,True,False,336.3,663.7
36000,37000,"HoH, one child",34.63,True,False,346.3,653.7
37000,38000,"HoH, one child",35.63,True,False,356.3,643.7
38000,39000,"HoH, one child",35.63,True,False,356.3,643.7
39000,40000,"HoH, one child",35.63,True,False,356.3,643.7
40000,41000,"HoH, one child",35.63,True,False,356.3,643.7
41000,42000,"HoH, one child",35.63,True,False,356.3,643.7
42000,43000,"HoH, one child",35.63,True,False,356.3,643.7
43000,44000,"HoH, one child",35.63,True,False,356.3,643.7
44000,45000,"HoH, one child",35.63,True,False,356.3,643.7
45000,46000,"HoH, one child",35.63,True,False,356.3,643.7
46000,47000,"HoH, one child",28.6,True,False,285.99,714.01
47000,48000,"HoH, one child",19.65,False,False,196.5,803.5
48000,49000,"HoH, one child",19.65,False,False,196.5,803.5
49000,50000,"HoH, one child",19.65,False,False,196.5,803.5
50000,51000,"HoH, one child",20.36,False,False,203.59,796.41
51000,52000,"HoH, one child",21.65,False,False,216.5,783.5
52000,53000,"HoH, one child",21.65,False,False,216.5,783.5
53000,54000,"HoH, one child",21.65,False,False,216.5,783.5
54000,55000,"HoH, one child",21.65,False,False,216.5,783.5
55000,56000,"HoH, one child",21.65,False,False,216.5,783.5
56000,57000,"HoH, one child",21.65,False,False,216.5,783.5
57000,58000,"HoH, one child",21.65,False,False,216.5,783.5
58000,59000,"HoH, one child",21.65,False,False,216.5,783.5
59000,60000,"HoH, one child",21.65,False,False,216.5,783.5
60000,61000,"HoH, one child",23.46,False,False,234.56,765.44
61000,62000,"HoH, one child",23.65,False,False,236.5,763.5
62000,63000,"HoH, one child",23.65,False,False,236.5,763.5
63000,64000,"HoH, one child",23.65,False,False,236.5,763.5
64000,65000,"HoH, one child",23.65,False,False,236.5,763.5
65000,66000,"HoH, one child",23.65,False,False,236.5,763.5
66000,67000,"HoH, one child",23.65,False,False,236.5,763.5
67000,68000,"HoH, one child",23.65,False,False,236.5,763.5
68000,69000,"HoH, one child",23.65,False,False,236.5,763.5
69000,70000,"HoH, one child",23.65,False,False,236.5,763.5
70000,71000,"HoH, one child",23.65,False,False,236.5,763.5
