Income,Household_Type,ETR_Gross_PreCredit_pct,ETR_After_FedCredits_pct,ETR_Net_FullStack_pct,Net_Tax_Dollars,Fed_EITC,CTC_Nonref,ACTC,CalEITC,YCTC
1000,"Single, no children",7.65,0.0,-6.51,-65.14,76.5,0,0,65.14,0
2000,"Single, no children",7.65,0.0,-6.51,-130.29,153.0,0,0,130.29,0
3000,"Single, no children",7.65,0.0,-6.51,-195.43,229.5,0,0,195.43,0
4000,"Single, no children",7.65,0.0,-6.51,-260.57,306.0,0,0,260.57,0
5000,"Single, no children",7.65,0.0,-4.94,-247.1,382.5,0,0,247.1,0
6000,"Single, no children",7.65,0.0,-3.84,-230.18,459.0,0,0,230.18,0
7000,"Single, no children",7.65,0.0,-3.16,-220.99,535.5,0,0,220.99,0
8000,"Single, no children",7.65,0.15,-2.5,-199.79,600,0,0,211.79,0
9000,"Single, no children",7.65,0.98,-1.27,-114.1,600,0,0,202.6,0
10000,"Single, no children",7.65,1.8,-0.13,-13.1,584.7,0,0,193.4,0
11000,"Single, no children",7.65,3.03,1.36,149.09,508.2,0,0,184.21,0
12000,"Single, no children",7.65,4.05,2.59,311.29,431.7,0,0,175.01,0
13000,"Single, no children",7.65,4.92,3.64,473.48,355.2,0,0,165.82,0
14000,"Single, no children",7.76,5.77,4.65,650.68,278.7,0,0,156.62,0
15000,"Single, no children",8.42,7.07,6.09,912.87,202.2,0,0,147.43,0
16000,"Single, no children",8.99,8.21,7.34,1175.07,125.7,0,0,138.23,0
17000,"Single, no children",9.5,9.21,8.45,1437.26,49.2,0,0,129.04,0
18000,"Single, no children",9.98,9.98,9.32,1676.78,0,0,0,119.84,0
19000,"Single, no children",10.49,10.49,9.91,1882.47,0,0,0,110.65,0
20000,"Single, no children",10.95,10.95,10.44,2088.17,0,0,0,101.45,0
21000,"Single, no children",11.36,11.36,10.92,2293.86,0,0,0,92.26,0
22000,"Single, no children",11.74,11.74,11.36,2499.56,0,0,0,83.06,0
23000,"Single, no children",12.08,12.08,11.76,2705.25,0,0,0,73.87,0
24000,"Single, no children",12.4,12.4,12.13,2910.94,0,0,0,64.68,0
25000,"Single, no children",12.7,12.7,12.48,3119.64,0,0,0,55.48,0
26000,"Single, no children",13.04,13.04,12.87,3345.33,0,0,0,46.29,0
27000,"Single, no children",13.36,13.36,13.23,3571.03,0,0,0,37.09,0
28000,"Single, no children",13.66,13.66,13.56,3796.72,0,0,0,27.9,0
29000,"Single, no children",13.93,13.93,13.87,4022.42,0,0,0,18.7,0
30000,"Single, no children",14.19,14.19,14.16,4248.11,0,0,0,9.51,0
31000,"Single, no children",14.49,14.49,14.49,4493.18,0,0,0,0,0
32000,"Single, no children",14.78,14.78,14.78,4729.68,0,0,0,0,0
33000,"Single, no children",15.05,15.05,15.05,4966.18,0,0,0,0,0
34000,"Single, no children",15.3,15.3,15.3,5202.68,0,0,0,0,0
35000,"Single, no children",15.54,15.54,15.54,5439.18,0,0,0,0,0
36000,"Single, no children",15.77,15.77,15.77,5675.68,0,0,0,0,0
37000,"Single, no children",15.98,15.98,15.98,5912.18,0,0,0,0,0
38000,"Single, no children",16.18,16.18,16.18,6148.68,0,0,0,0,0
39000,"Single, no children",16.37,16.37,16.37,6385.18,0,0,0,0,0
40000,"Single, no children",16.55,16.55,16.55,6621.68,0,0,0,0,0
41000,"Single, no children",16.73,16.73,16.73,6858.18,0,0,0,0,0
42000,"Single, no children",16.89,16.89,16.89,7094.68,0,0,0,0,0
43000,"Single, no children",17.05,17.05,17.05,7331.18,0,0,0,0,0
44000,"Single, no children",17.2,17.2,17.2,7567.68,0,0,0,0,0
45000,"Single, no children",17.37,17.37,17.37,7817.74,0,0,0,0,0
46000,"Single, no children",17.55,17.55,17.55,8074.24,0,0,0,0,0
47000,"Single, no children",17.72,17.72,17.72,8330.74,0,0,0,0,0
48000,"Single, no children",17.89,17.89,17.89,8587.24,0,0,0,0,0
49000,"Single, no children",18.05,18.05,18.05,8843.74,0,0,0,0,0
50000,"Single, no children",18.2,18.2,18.2,9100.24,0,0,0,0,0
51000,"Single, no children",18.35,18.35,18.35,9356.74,0,0,0,0,0
52000,"Single, no children",18.49,18.49,18.49,9613.24,0,0,0,0,0
53000,"Single, no children",18.62,18.62,18.62,9869.74,0,0,0,0,0
54000,"Single, no children",18.75,18.75,18.75,10126.24,0,0,0,0,0
55000,"Single, no children",18.88,18.88,18.88,10382.74,0,0,0,0,0
56000,"Single, no children",19.0,19.0,19.0,10639.24,0,0,0,0,0
57000,"Single, no children",19.12,19.12,19.12,10895.74,0,0,0,0,0
58000,"Single, no children",19.23,19.23,19.23,11152.24,0,0,0,0,0
59000,"Single, no children",19.41,19.41,19.41,11451.24,0,0,0,0,0
60000,"Single, no children",19.7,19.7,19.7,11818.86,0,0,0,0,0
