Income_From,Income_To,Household_Type,Implicit_MTR_pct,Cliff_Flag,Notch_Flag,Net_Tax_Change,Disposable_Income_Change
1000,2000,"Single, no children",-7.5,False,False,-75.0,1075.0
2000,3000,"Single, no children",-7.5,False,False,-75.0,1075.0
3000,4000,"Single, no children",-6.0,False,False,-60.0,1060.0
4000,5000,"Single, no children",0.0,False,False,0.0,1000.0
5000,6000,"Single, no children",0.78,False,False,7.77,992.23
6000,7000,"Single, no children",1.11,False,False,11.1,988.9
7000,8000,"Single, no children",2.31,False,False,23.1,976.9
8000,9000,"Single, no children",8.76,False,False,87.6,912.4
9000,10000,"Single, no children",10.29,False,False,102.9,897.1
10000,11000,"Single, no children",16.41,False,False,164.1,835.9
11000,12000,"Single, no children",16.41,False,False,164.1,835.9
12000,13000,"Single, no children",16.41,False,False,164.1,835.9
13000,14000,"Single, no children",17.91,False,False,179.1,820.9
14000,15000,"Single, no children",26.41,False,False,264.1,735.9
15000,16000,"Single, no children",26.41,False,False,264.1,735.9
16000,17000,"Single, no children",26.41,False,False,264.1,735.9
17000,18000,"Single, no children",24.14,False,False,241.42,758.58
18000,19000,"Single, no children",20.76,False,False,207.6,792.4
19000,20000,"Single, no children",20.76,False,False,207.6,792.4
20000,21000,"Single, no children",20.76,False,False,207.6,792.4
21000,22000,"Single, no children",20.76,False,False,207.6,792.4
22000,23000,"Single, no children",20.76,False,False,207.6,792.4
23000,24000,"Single, no children",20.76,False,False,207.6,792.4
24000,25000,"Single, no children",21.06,False,False,210.6,789.4
25000,26000,"Single, no children",22.76,False,False,227.6,772.4
26000,27000,"Single, no children",22.76,False,False,227.6,772.4
27000,28000,"Single, no children",22.76,False,False,227.6,772.4
28000,29000,"Single, no children",22.76,False,False,227.6,772.4
29000,30000,"Single, no children",22.76,False,False,227.6,772.4
30000,31000,"Single, no children",24.64,False,False,246.39,753.61
31000,32000,"Single, no children",23.65,False,False,236.5,763.5
32000,33000,"Single, no children",23.65,False,False,236.5,763.5
33000,34000,"Single, no children",23.65,False,False,236.5,763.5
34000,35000,"Single, no children",23.65,False,False,236.5,763.5
35000,36000,"Single, no children",23.65,False,False,236.5,763.5
36000,37000,"Single, no children",23.65,False,False,236.5,763.5
37000,38000,"Single, no children",23.65,False,False,236.5,763.5
38000,39000,"Single, no children",23.65,False,False,236.5,763.5
39000,40000,"Single, no children",23.65,False,False,236.5,763.5
40000,41000,"Single, no children",23.65,False,False,236.5,763.5
41000,42000,"Single, no children",23.65,False,False,236.5,763.5
42000,43000,"Single, no children",23.65,False,False,236.5,763.5
43000,44000,"Single, no children",23.65,False,False,236.5,763.5
44000,45000,"Single, no children",25.01,False,False,250.06,749.94
45000,46000,"Single, no children",25.65,False,False,256.5,743.5
46000,47000,"Single, no children",25.65,False,False,256.5,743.5
